dispute_id,customer_id,txn_id,description,txn_type,channel,amount,created_at,predicted_category,suggested_action,confidence,explanation
D001,C001,T001,I got charged twice for the same UPI payment,UPI,Mobile,999,2025-08-01 10:23:11,DUPLICATE_CHARGE,Auto-refund,0.9,"The customer has reported a duplicate charge and the transaction history shows two successful transactions with the same amount, timestamp close to each other, and the same merchant, which supports the customer's claim."
D002,C002,T002,My NEFT failed but money is not refunded,NEFT,Web,1250,2025-08-01 11:55:09,FAILED_TRANSACTION,Manual review,0.8,"The customer claims that their NEFT transaction failed but the money has not been refunded. The transaction history shows a single failed transaction, which supports the customer's claim. A manual review is suggested to verify the transaction status and ensure that the refund is processed accordingly."
D003,C003,T003,Transaction shows failed but money was debited,CARD,POS,500,2025-08-01 12:10:43,FAILED_TRANSACTION,Auto-refund,0.9,"The customer claims that the transaction shows as failed but the money was debited. The transaction history confirms that the transaction status is 'FAILED' and the amount of 500 was attempted to be debited. Given this evidence, it is likely that the transaction was indeed failed but the amount was still debited, so an auto-refund is suggested."
D004,C004,T004,I did not make this payment. This is fraud.,CARD,Mobile,1200,2025-08-01 13:30:01,FRAUD,Mark as potential fraud,0.8,"The customer explicitly claims that the transaction is fraudulent and they did not make the payment. The transaction history shows only one successful transaction, which aligns with the customer's claim of a single unauthorized transaction."
D005,C005,T005,Still waiting for refund after canceled transaction,CARD,Web,750,2025-08-01 14:02:18,REFUND_PENDING,Manual review,0.8,"The customer is waiting for a refund after a canceled transaction. The transaction history shows a single canceled transaction, which suggests that the refund is pending. A manual review is necessary to verify the status of the refund and ensure it is processed correctly."
D006,C006,T006,Duplicate charge for the same merchant within minutes,CARD,Mobile,1499,2025-08-01 15:11:05,DUPLICATE_CHARGE,Auto-refund,0.9,"The customer has reported a duplicate charge and the transaction history shows two successful transactions with the same amount, merchant, and channel within minutes of each other, supporting the customer's claim."
D007,C007,T007,UPI transfer failed but account is debited,UPI,Mobile,299,2025-08-01 16:45:30,FAILED_TRANSACTION,Auto-refund,0.9,"The customer's transaction history shows a single failed transaction with the status 'FAILED', and the customer claims that the UPI transfer failed but their account was debited. This suggests that the transaction was not successful, but the amount was still deducted from the customer's account. Therefore, an auto-refund is the most suitable action."
D008,C008,T008,NEFT credited to wrong beneficiary per my statement,NEFT,Web,5400,2025-08-01 17:20:12,FAILED_TRANSACTION,Manual review,0.8,"The customer claims that the NEFT was credited to the wrong beneficiary, which suggests a potential issue with the transaction. The transaction history shows only one successful transaction, which contradicts a duplicate charge claim. Since the customer is not claiming fraud, we should not mark it as potential fraud. A manual review is necessary to investigate the claim and determine the appropriate course of action."
D009,C009,T009,Chargeback requested as I don't recognize this card txn,CARD,Web,1899,2025-08-02 09:12:44,OTHERS,Ask for more info,0.6,"The customer claims they don't recognize the transaction, but there is only one transaction in the history. More information is needed to determine the cause of the dispute."
D010,C010,T010,Refund pending for a week after failed POS swipe,CARD,POS,650,2025-08-02 10:05:10,REFUND_PENDING,Manual review,0.8,"The customer is claiming a refund pending for a week after a failed POS swipe. The transaction history shows only one failed transaction, which aligns with the customer's description. There is no evidence of duplicate charges or fraud. A manual review is suggested to verify the customer's claim and ensure the refund is processed correctly."
