dispute_id,customer_id_dispute,txn_id,description,txn_type,channel_dispute,amount_dispute,created_at,predicted_category,confidence,explanation,customer_id_txn,amount_txn,status,timestamp,channel_txn,merchant,suggested_action,justification
D001,C001,T001,I got charged twice for the same UPI payment,UPI,Mobile,999,2025-08-01 10:23:11,DUPLICATE_CHARGE,1.0,Classified by SVM Model based on text patterns.,C001,999,SUCCESS,2025-08-01 10:22:50,Mobile,UPI@StoreA,Auto-refund,Found a duplicate successful transaction within short timeframe.
D002,C002,T002,My NEFT failed but money is not refunded,NEFT,Web,1250,2025-08-01 11:55:09,REFUND_PENDING,1.0,Classified by SVM Model based on text patterns.,C002,1250,FAILED,2025-08-01 11:54:30,Web,NEFT@BankX,Escalate to bank,Refund delayed. Escalate.
D003,C003,T003,Transaction shows failed but money was debited,CARD,POS,500,2025-08-01 12:10:43,FAILED_TRANSACTION,1.0,Classified by SVM Model based on text patterns.,C003,500,FAILED,2025-08-01 12:10:30,POS,CARD@ShopB,Auto-refund,Transaction is marked FAILED in system but user reports debit. Refund.
D004,C004,T004,I did not make this payment. This is fraud.,CARD,Mobile,1200,2025-08-01 13:30:01,FRAUD,1.0,Classified by SVM Model based on text patterns.,C004,1200,SUCCESS,2025-08-01 13:29:50,Mobile,CARD@AppC,Mark as potential fraud,High severity claim. Immediate block and investigation required.
D005,C005,T005,Still waiting for refund after canceled transaction,CARD,Web,750,2025-08-01 14:02:18,REFUND_PENDING,1.0,Classified by SVM Model based on text patterns.,C005,750,CANCELLED,2025-08-01 13:58:20,Web,CARD@SiteD,Auto-refund,Order was cancelled. Process refund if not done.
D006,C006,T006,Duplicate charge for the same merchant within minutes,CARD,Mobile,1499,2025-08-01 15:11:05,DUPLICATE_CHARGE,1.0,Classified by SVM Model based on text patterns.,C006,1499,SUCCESS,2025-08-01 15:10:45,Mobile,CARD@AppE,Auto-refund,Found a duplicate successful transaction within short timeframe.
D007,C007,T007,UPI transfer failed but account is debited,UPI,Mobile,299,2025-08-01 16:45:30,FAILED_TRANSACTION,1.0,Classified by SVM Model based on text patterns.,C007,299,FAILED,2025-08-01 16:45:05,Mobile,UPI@UserVPA1,Auto-refund,Transaction is marked FAILED in system but user reports debit. Refund.
D008,C008,T008,NEFT credited to wrong beneficiary per my statement,NEFT,Web,5400,2025-08-01 17:20:12,OTHERS,1.0,Classified by SVM Model based on text patterns.,C008,5400,SUCCESS,2025-08-01 17:19:55,Web,NEFT@BankY,Manual review,Category OTHERS or unclear rules.
D009,C009,T009,Chargeback requested as I don't recognize this card txn,CARD,Web,1899,2025-08-02 09:12:44,FRAUD,1.0,Classified by SVM Model based on text patterns.,C009,1899,SUCCESS,2025-08-02 09:12:10,Web,CARD@SiteF,Mark as potential fraud,High severity claim. Immediate block and investigation required.
D010,C010,T010,Refund pending for a week after failed POS swipe,CARD,POS,650,2025-08-02 10:05:10,REFUND_PENDING,1.0,Classified by SVM Model based on text patterns.,C010,650,FAILED,2025-08-02 09:59:59,POS,CARD@POS_Terminal_12,Escalate to bank,Refund delayed. Escalate.
